observation_id,timestamp,direction,mean_index,std_dev,mask_pixel_count
116-411508-182041988-202603081817,2026-03-08T18:17:00,South,0.5302739657506429,0.009092836900351066,708338
116-411508-182041988-202603081817,2026-03-08T18:17:00,West,0.5323776707745559,0.006025165038140952,717244
116-412236-182041988-202603071715,2026-03-07T17:15:00,Up,4900.891532623796,1852087.3448741373,857080
116-412236-182041988-202603071715,2026-03-07T17:15:00,North,0.5417501942213594,0.016917604059434675,4326
116-412236-182041988-202603071715,2026-03-07T17:15:00,East,0.5555994018247395,0.05152625848182603,642748
116-412236-182041988-202603071715,2026-03-07T17:15:00,West,0.6675126344622444,0.10001866751382925,638698
116-412236-182041988-202603071704,2026-03-07T17:04:00,North,0.6009744328030215,0.08233893687865776,763239
116-412236-182041988-202603071704,2026-03-07T17:04:00,South,0.5510545639825293,0.040947186025795425,490781
116-412236-182041988-202603071704,2026-03-07T17:04:00,East,0.5674967718641252,0.05736381372047835,650672
116-412236-182041988-202603071704,2026-03-07T17:04:00,West,0.603772148745871,0.09043933811582404,783739
116-411913-181995545-202603071923,2026-03-07T19:23:00,Up,825491.712564356,51689351.96814858,2049205
116-411913-181995545-202603071923,2026-03-07T19:23:00,North,0.7000362072679581,0.06565813232717682,1060689
116-411913-181995545-202603071923,2026-03-07T19:23:00,South,0.562425039166514,0.026878565751011226,23161
116-411913-181995545-202603071923,2026-03-07T19:23:00,East,0.6650786007939704,0.06399183247416788,4820
116-411913-181995545-202603071923,2026-03-07T19:23:00,West,0.6689694169972229,0.08120668543454987,1724970
116-400062-182047116-202603061748,2026-03-06T17:48:00,Up,0.5111278503171583,0.00107597247258458,13067
116-400062-182047116-202603061748,2026-03-06T17:48:00,North,0.5098827018911645,0.00712542053623658,5244166
116-400062-182047116-202603061748,2026-03-06T17:48:00,South,11435.50374401456,3233943.400915698,3113251
116-400062-182047116-202603061748,2026-03-06T17:48:00,East,0.5156723096548103,0.00670559803701803,3185107
116-400062-182047116-202603061748,2026-03-06T17:48:00,West,0.5115509746642944,0.01032929514931537,6202193
116-400062-182047116-202603062113,2026-03-06T21:13:00,Up,0.5127625212802296,0.0016280856174900457,23232
116-400062-182047116-202603062113,2026-03-06T21:13:00,East,0.5136202227969283,0.009878343890438623,3015264
116-400062-182047116-202603062113,2026-03-06T21:13:00,West,0.5046414341298622,0.011990341064245675,6009811
116-400316-181995545-202603062319,2026-03-06T23:19:00,Up,0.5210117291883225,0.017400569089543756,2044601
116-400316-181995545-202603062319,2026-03-06T23:19:00,West,0.5241681373738389,0.013539356350873933,15653
116-411527-182041988-202603061852,2026-03-06T18:52:00,Up,0.527129237103459,0.013992285396350765,857611
116-411527-182041988-202603061852,2026-03-06T18:52:00,North,0.5207628325012791,0.009504933022911086,621773
116-411527-182041988-202603061852,2026-03-06T18:52:00,South,0.5255457952686744,0.01189975746251843,795148
116-411527-182041988-202603061852,2026-03-06T18:52:00,East,0.5272304564797535,0.0119889190873359,754760
116-411527-182041988-202603061852,2026-03-06T18:52:00,West,0.510567325439587,0.011177590473558983,528160
116-400061-181995590-202603061910,2026-03-06T19:10:00,Up,0.5409017469902648,0.010267871429802912,1860476
116-400061-181995590-202603061910,2026-03-06T19:10:00,North,0.5282255829876455,0.011686612983776748,1740865
116-400061-181995590-202603061910,2026-03-06T19:10:00,South,0.5167474573337582,0.005350654275394805,913032
116-400061-181995590-202603061910,2026-03-06T19:10:00,East,45664.780723361735,6224553.15331619,1999373
116-400061-181995590-202603061910,2026-03-06T19:10:00,West,0.5215177340226589,0.004337677393257002,13183
116-411508-182041988-202603061708,2026-03-06T17:08:00,Up,82490.47671689054,5463345.843777744,340647
116-411508-182041988-202603061708,2026-03-06T17:08:00,North,0.5285292080189532,0.012140272853659012,569995
116-411508-182041988-202603061708,2026-03-06T17:08:00,South,0.5218719247054534,0.014074928385671256,708484
116-411508-182041988-202603061708,2026-03-06T17:08:00,East,0.5244940615773392,0.010571073663132315,230200
116-411508-182041988-202603061708,2026-03-06T17:08:00,West,0.5343815620451653,0.01489090560810507,729544
116-412148-182041988-202603052328,2026-03-05T23:28:00,Up,0.8113119442221132,0.05099301530176344,754230
116-412148-182041988-202603052328,2026-03-05T23:28:00,North,0.708649789112013,0.053460646443122324,759318
116-412148-182041988-202603052328,2026-03-05T23:28:00,South,0.8819992556746867,0.07531153994318154,445159
116-412148-182041988-202603052328,2026-03-05T23:28:00,East,0.789647620684674,0.03360788246881845,364371
116-412148-182041988-202603052328,2026-03-05T23:28:00,West,0.6952579877571569,0.042614062861256984,372674
116-400062-182047116-202603051958,2026-03-05T19:58:00,Up,0.5371795029891949,0.023164107869599732,7208694
116-400062-182047116-202603051958,2026-03-05T19:58:00,North,0.5111689726000861,0.012054466039640697,4576012
116-400062-182047116-202603051958,2026-03-05T19:58:00,South,0.5182433655761054,0.012620759385118615,2929852
116-400062-182047116-202603051958,2026-03-05T19:58:00,East,6232761.915685726,82451908.15377711,2693798
116-400062-182047116-202603051958,2026-03-05T19:58:00,West,0.499353947318242,0.00759692162785876,51682
116-400062-182119315-202603052238,2026-03-05T22:38:00,Up,0.544439471449806,0.025412129244113544,2052704
116-400062-182119315-202603052238,2026-03-05T22:38:00,North,0.5454242456319482,0.02483325552434679,1941626
116-400062-182119315-202603052238,2026-03-05T22:38:00,South,0.5230362323102997,0.0066681876281336,4554
116-400062-182119315-202603052238,2026-03-05T22:38:00,East,0.5252848551226409,0.006051694265946338,7171
116-400062-182119315-202603052238,2026-03-05T22:38:00,West,0.5180106687417466,0.010288272238591273,3473
116-400548-182047116-202603051745,2026-03-05T17:45:00,Up,0.5859690492203287,0.04280556123052841,7254430
116-400548-182047116-202603051745,2026-03-05T17:45:00,North,0.5445816467188823,0.03689179119170663,5309419
116-400548-182047116-202603051745,2026-03-05T17:45:00,South,0.533415605277863,0.017602727684962443,6014714
116-400548-182047116-202603051745,2026-03-05T17:45:00,East,0.5530158475769427,0.03776083813323891,5242381
116-400548-182047116-202603051745,2026-03-05T17:45:00,West,0.5316570426901808,0.024577044215924746,6284342
116-411508-182041988-202603051745,2026-03-05T17:45:00,Up,122228.78663156356,6420093.243351024,319893
116-411508-182041988-202603051745,2026-03-05T17:45:00,North,0.5651818454601529,0.041217612936765145,450868
116-411508-182041988-202603051745,2026-03-05T17:45:00,South,0.5393035281482178,0.030351055030294855,703467
116-411508-182041988-202603051745,2026-03-05T17:45:00,East,0.5541394803261164,0.03156503382693954,208094
116-411508-182041988-202603051745,2026-03-05T17:45:00,West,0.5976563137222852,0.04669177063356711,761290
116-411527-182041988-202603051518,2026-03-05T15:18:00,Up,0.6610345714656538,0.06533981768619017,861893
116-411527-182041988-202603051518,2026-03-05T15:18:00,North,0.5708417004095837,0.04005664743369165,555877
116-411527-182041988-202603051518,2026-03-05T15:18:00,South,0.5775486136653301,0.045960200901936386,735283
116-411527-182041988-202603051518,2026-03-05T15:18:00,East,0.5678472128217812,0.04803348857003906,695325
116-411527-182041988-202603051518,2026-03-05T15:18:00,West,0.6238718826236522,0.05343578184549995,503478
116-411527-182041988-202603051700,2026-03-05T17:00:00,Up,0.5831180789888151,0.05492965047238327,866408
116-411527-182041988-202603051700,2026-03-05T17:00:00,North,0.5618994233081847,0.038834736202993325,586377
116-411527-182041988-202603051700,2026-03-05T17:00:00,South,0.553802332884779,0.036623330522841765,735967
116-411527-182041988-202603051700,2026-03-05T17:00:00,East,0.5543797821570973,0.02969601460312255,708276
116-411527-182041988-202603051700,2026-03-05T17:00:00,West,0.573116490225041,0.039711336445351915,481892
116-400311-181995590-202603042232,2026-03-04T22:32:00,Up,0.5004501642742096,0.0032679534127987514,1890300
116-400311-181995590-202603042232,2026-03-04T22:32:00,North,0.49989792151653406,0.002317228692770307,1024639
116-400311-181995590-202603042232,2026-03-04T22:32:00,South,0.49856081587547846,0.005455199778217411,910348
116-400311-181995590-202603042232,2026-03-04T22:32:00,East,0.4995723035996757,0.0015588193480588035,754027
116-400311-181995590-202603042232,2026-03-04T22:32:00,West,0.49550350159254414,0.006662389807005327,1074640
116-400548-182119315-202603042324,2026-03-04T23:24:00,Up,0.5088147085886486,0.0002761750092948936,592
116-400548-182119315-202603042324,2026-03-04T23:24:00,North,0.5186121847782209,0.013212675244564785,2052511
116-400548-182119315-202603042324,2026-03-04T23:24:00,South,0.5450264682823985,0.01298873531446234,30189
116-400548-182119315-202603042324,2026-03-04T23:24:00,East,0.5181431034158945,0.05959807404465327,2035004
116-400548-182119315-202603042324,2026-03-04T23:24:00,West,0.6355581924562563,0.008133277260424218,4139
116-400311-182047116-202603042045,2026-03-04T20:45:00,Up,0.5261332231517435,0.018238122064435605,5987752
116-400311-182047116-202603042045,2026-03-04T20:45:00,North,0.5255830024531126,0.014497976831730278,3721452
116-400311-182047116-202603042045,2026-03-04T20:45:00,South,11980.359875281358,2916215.035294788,4048467
116-400311-182047116-202603042045,2026-03-04T20:45:00,East,0.5228687247924991,0.01653972458197069,4141822
116-400311-182047116-202603042045,2026-03-04T20:45:00,West,1534501.644286104,49347506.067219034,1894101
116-400548-182047116-202603041700,2026-03-04T17:00:00,Up,0.5533886304399434,0.01774036430307976,242787
116-400548-182047116-202603041700,2026-03-04T17:00:00,North,0.5372639213080008,0.034597526882788034,4619869
116-400548-182047116-202603041700,2026-03-04T17:00:00,South,0.5501370016823995,0.02695782772471531,6154749
116-400548-182047116-202603041700,2026-03-04T17:00:00,East,0.5435538286516199,0.0303902137972625,4475019
116-400548-182047116-202603041700,2026-03-04T17:00:00,West,0.5315843836569661,0.029264812194006944,5921232
116-412029-181995518-202603041349,2026-03-04T13:49:00,Up,0.5855772159777967,0.013366061624939165,864923
116-412029-181995518-202603041349,2026-03-04T13:49:00,North,7436633.8400810845,134912977.1305153,4182
116-412029-181995518-202603041349,2026-03-04T13:49:00,South,0.5610668867185936,0.030460528856929476,541223
116-412029-181995518-202603041349,2026-03-04T13:49:00,East,0.5784424356303877,0.039792592429782496,722474
116-412029-181995518-202603041349,2026-03-04T13:49:00,West,0.5532207916327911,0.028025102478316837,604837
116-411914-181995496-202603031220,2026-03-03T12:20:00,Up,0.5243706334860215,0.009498335291285817,2054715
116-411914-181995496-202603031220,2026-03-03T12:20:00,North,0.5136390267079999,0.009273797313708662,1519542
116-411914-181995496-202603031220,2026-03-03T12:20:00,South,0.512236397852873,0.009377389833730536,1194234
116-411914-181995496-202603031220,2026-03-03T12:20:00,East,0.5135657662939168,0.007808171480121334,1138282
116-411914-181995496-202603031220,2026-03-03T12:20:00,West,0.5322873596724975,0.014382995270189072,1818611
116-411929-181995545-202603031631,2026-03-03T16:31:00,Up,0.5263443427581261,0.011018698004127995,2019464
116-411929-181995545-202603031631,2026-03-03T16:31:00,North,0.5259410081098982,0.011241199289443695,1586849
116-411929-181995545-202603031631,2026-03-03T16:31:00,South,1559815.5544155578,43995499.633417465,121040
116-411929-181995545-202603031631,2026-03-03T16:31:00,East,0.558656942918902,0.016092800239249378,13676
116-411929-181995545-202603031631,2026-03-03T16:31:00,West,0.5524795025991674,0.023977421124332116,7220
116-400311-181995590-202603032230,2026-03-03T22:30:00,Up,0.5161000892694732,0.0001960572392387415,5129
116-400311-181995590-202603032230,2026-03-03T22:30:00,North,0.5017748364496867,0.0030442164427465783,985184
116-400311-181995590-202603032230,2026-03-03T22:30:00,South,0.5022478615704549,0.006018712931361557,718094
116-400311-181995590-202603032230,2026-03-03T22:30:00,East,0.5006389984348323,0.002726490896662924,796706
116-400311-181995590-202603032230,2026-03-03T22:30:00,West,0.5050752125448593,0.006381690909287649,894278
116-411632-181995518-202603031616,2026-03-03T16:16:00,Up,0.5426599047558942,0.024120541114149095,846246
116-411632-181995518-202603031616,2026-03-03T16:16:00,North,0.5372561815447174,0.00871368396656496,363570
116-411632-181995518-202603031616,2026-03-03T16:16:00,South,0.5455688759638415,0.0210100417636064,665990
116-411632-181995518-202603031616,2026-03-03T16:16:00,East,0.5505856158459504,0.014195730630759188,808210
116-411632-181995518-202603031616,2026-03-03T16:16:00,West,0.5389529254640799,0.007834886707395008,246398
116-411913-181995545-202603031130,2026-03-03T11:30:00,Up,0.5940384146962123,0.024050388064267233,1948941
116-411913-181995545-202603031130,2026-03-03T11:30:00,North,1686681.3549565421,34510002.5305591,636220
116-411913-181995545-202603031130,2026-03-03T11:30:00,South,0.5846458609660239,0.015122893836318438,1680618
116-411913-181995545-202603031130,2026-03-03T11:30:00,West,0.5175561641262826,0.0067583618060574795,792380
116-411527-182041988-202603032045,2026-03-03T20:45:00,Up,0.5611489685171246,0.025804437903750158,866274
116-411527-182041988-202603032045,2026-03-03T20:45:00,North,270839.94414441724,11179825.817521064,260671
116-411527-182041988-202603032045,2026-03-03T20:45:00,South,0.5693747211830827,0.03189405642515821,705079
116-411527-182041988-202603032045,2026-03-03T20:45:00,East,0.5640043728745553,0.029319118492577945,678736
116-411527-182041988-202603032045,2026-03-03T20:45:00,West,0.5295747245798763,0.026516654709179494,430142
116-411947-181995545-202603031910,2026-03-03T19:10:00,Up,0.60133080794836,0.1945394947933841,544256
116-411947-181995545-202603031910,2026-03-03T19:10:00,South,0.5524857288860859,0.026090350303851928,1406685
116-411947-181995545-202603031910,2026-03-03T19:10:00,East,0.5583454546143262,0.022006289058934907,1418056
116-400061-182119315-202603032226,2026-03-03T22:26:00,Up,0.5248586665596862,0.014461748252765435,2057813
116-400061-182119315-202603032226,2026-03-03T22:26:00,North,0.5275691509627403,0.046710832592575566,2048526
116-400061-182119315-202603032226,2026-03-03T22:26:00,South,0.5162569682817936,0.011598621658537131,11925
116-400061-182119315-202603032226,2026-03-03T22:26:00,East,0.5131760536347072,0.012103447259530734,1595702
116-400061-182119315-202603032226,2026-03-03T22:26:00,West,0.5343736247899361,0.03609977617805497,2018659
116-400062-182047116-202603031718,2026-03-03T17:18:00,Up,0.5739046341612916,0.03290494121885584,7381614
116-400062-182047116-202603031718,2026-03-03T17:18:00,North,0.5316858272367905,0.027729142323804513,4839800
116-400062-182047116-202603031718,2026-03-03T17:18:00,South,0.5270920044827168,0.01458999954996845,4562337
116-400062-182047116-202603031718,2026-03-03T17:18:00,East,0.5391257668467826,0.02891155042414368,5772832
116-400062-182047116-202603031718,2026-03-03T17:18:00,West,0.523259478354526,0.016143882343419468,5889230
116-400102-182047116-202603032206,2026-03-03T22:06:00,Up,0.49277610877793465,0.00726355241324422,4974141
116-400102-182047116-202603032206,2026-03-03T22:06:00,North,0.4899006963363815,0.009415870221620092,4481213
116-400102-182047116-202603032206,2026-03-03T22:06:00,South,0.5134196108248628,0.010237246883996437,5835974
116-400102-182047116-202603032206,2026-03-03T22:06:00,East,0.5130345757400427,0.018035235462891448,456497
116-400102-182047116-202603032206,2026-03-03T22:06:00,West,0.5060954498298947,0.007744705042342442,6872492
116-411508-182041988-202603021705,2026-03-02T17:05:00,Up,0.39224702173771264,0.01557870214374304,17938
116-411508-182041988-202603021705,2026-03-02T17:05:00,North,0.7256743739757443,0.021974918641372975,514548
116-411508-182041988-202603021705,2026-03-02T17:05:00,South,0.6558722605437702,0.05356769787648777,704520
116-411508-182041988-202603021705,2026-03-02T17:05:00,East,0.6932666712992794,0.04303010359592372,221219
116-411508-182041988-202603021705,2026-03-02T17:05:00,West,0.7133471755205882,0.054963296242271115,837042
116-400062-182047116-202603021736,2026-03-02T17:36:00,Up,0.6390698424512125,0.03005889461305765,7389091
116-400062-182047116-202603021736,2026-03-02T17:36:00,North,0.6184565346798787,0.03953891268230619,4738174
116-400062-182047116-202603021736,2026-03-02T17:36:00,South,0.6085450798030116,0.031166959233256315,5463057
116-400062-182047116-202603021736,2026-03-02T17:36:00,East,0.6410682229133491,0.02737336365208002,3570885
116-400062-182047116-202603021736,2026-03-02T17:36:00,West,0.5691551176536769,0.023309628215516947,5207956
116-411508-182041988-202603021829,2026-03-02T18:29:00,Up,0.7136967724906985,0.045509572487208515,615367
116-411508-182041988-202603021829,2026-03-02T18:29:00,North,0.7562356473782729,0.019554262029878065,485030
116-411508-182041988-202603021829,2026-03-02T18:29:00,South,0.6287056147880975,0.09349409165248715,703549
116-411508-182041988-202603021829,2026-03-02T18:29:00,East,0.6766654350025497,0.09106146338762755,191286
116-411508-182041988-202603021829,2026-03-02T18:29:00,West,0.6836623888122243,0.06950469336795943,816398
116-411860-181995545-202603021911,2026-03-02T19:11:00,Up,0.5293802908924768,0.026465092314368013,16005
116-411860-181995545-202603021911,2026-03-02T19:11:00,North,0.6643855515663901,0.0726066623338615,1189886
116-411860-181995545-202603021911,2026-03-02T19:11:00,South,0.5887726592520902,0.05206162333809512,1024005
116-411860-181995545-202603021911,2026-03-02T19:11:00,East,0.5651419180483285,0.03831135478948799,840740
116-411860-181995545-202603021911,2026-03-02T19:11:00,West,0.6762641502448369,0.06568385499625191,1698308
116-382520-182047116-202603022229,2026-03-02T22:29:00,Up,0.6059350849367953,0.10676743432359481,972262
116-382520-182047116-202603022229,2026-03-02T22:29:00,North,109480.06726860531,11026677.51847158,3941378
116-382520-182047116-202603022229,2026-03-02T22:29:00,South,794490.1708448925,38019320.16795167,3165051
116-382520-182047116-202603022229,2026-03-02T22:29:00,East,0.6109045901285006,0.0924422447450561,5377809
116-382520-182047116-202603022229,2026-03-02T22:29:00,West,18724.70154323717,4752096.55597283,614185
116-411508-182041988-202603011941,2026-03-01T19:41:00,Up,0.4511311970391625,0.010485961423558548,68159
116-411508-182041988-202603011941,2026-03-01T19:41:00,North,0.5315028273894146,0.020559679995527894,453906
116-411508-182041988-202603011941,2026-03-01T19:41:00,South,0.5466225824914316,0.0290258722111659,677752
116-411508-182041988-202603011941,2026-03-01T19:41:00,East,0.534519200034942,0.014139660297474843,192911
116-411508-182041988-202603011941,2026-03-01T19:41:00,West,1007427.4449909725,26004629.78986293,13599
116-411789-182047116-202603011751,2026-03-01T17:51:00,Up,0.5580526959348233,0.01910344581427262,13949
116-411789-182047116-202603011751,2026-03-01T17:51:00,North,0.5498319591520071,0.04779969726232217,4918429
116-411789-182047116-202603011751,2026-03-01T17:51:00,South,0.5291404374937836,0.01995686228663527,5407137
116-411789-182047116-202603011751,2026-03-01T17:51:00,East,0.5263332516978656,0.013295407755490964,7121550
116-411789-182047116-202603011751,2026-03-01T17:51:00,West,0.5245031291618155,0.021802030130710977,5370938
116-411784-182041988-202603011720,2026-03-01T17:20:00,Up,0.6472957893104605,0.07282761603077807,839707
116-411784-182041988-202603011720,2026-03-01T17:20:00,North,0.6158643021376992,0.07569007462063476,345563
116-411784-182041988-202603011720,2026-03-01T17:20:00,South,0.6386051502694859,0.06542098140199079,602944
116-411784-182041988-202603011720,2026-03-01T17:20:00,East,0.6177175913403136,0.07257582428809822,522698
116-411784-182041988-202603011720,2026-03-01T17:20:00,West,0.6484907780628715,0.06470476879434639,635607
116-411527-182041988-202602281853,2026-02-28T18:53:00,Up,0.5688952401816988,0.018506361404576708,860693
116-411527-182041988-202602281853,2026-02-28T18:53:00,North,0.5576348524444081,0.0492560109078129,609889
116-411527-182041988-202602281853,2026-02-28T18:53:00,South,0.5602723362599102,0.052653623203634155,736108
116-411527-182041988-202602281853,2026-02-28T18:53:00,East,0.5900904420268173,0.07628160705441786,734148
116-411527-182041988-202602281853,2026-02-28T18:53:00,West,0.5563473182928259,0.025118299380669427,527321
116-411508-182041988-202602281952,2026-02-28T19:52:00,Up,246804.4621887758,10085748.602692543,320092
116-411508-182041988-202602281952,2026-02-28T19:52:00,North,0.5479648129144701,0.02515407957227949,444657
116-411508-182041988-202602281952,2026-02-28T19:52:00,South,0.610777873538914,0.0549663770452363,692184
116-411508-182041988-202602281952,2026-02-28T19:52:00,East,0.5747564428951549,0.05586829859764331,209047
116-411508-182041988-202602281952,2026-02-28T19:52:00,West,0.5675714232877507,0.03239136518836419,824915
116-411648-182047116-202602272032,2026-02-27T20:32:00,Up,0.5269899021553479,0.019360952160282635,7411910
116-411648-182047116-202602272032,2026-02-27T20:32:00,North,0.5135344939773011,0.013333558361086932,4217976
116-411648-182047116-202602272032,2026-02-27T20:32:00,South,38857.264388734206,6332435.414757546,3808859
116-411648-182047116-202602272032,2026-02-27T20:32:00,East,0.5701654110361474,0.05868126490903112,4874329
116-411648-182047116-202602272032,2026-02-27T20:32:00,West,0.5213820756828069,0.019858376486744118,5560412
116-411527-182041988-202602271700,2026-02-27T17:00:00,Up,0.7945440286912266,0.11673637641323865,863199
116-411527-182041988-202602271700,2026-02-27T17:00:00,North,0.7083033768580949,0.05441509680923208,640593
116-411527-182041988-202602271700,2026-02-27T17:00:00,South,0.6720615783914293,0.059596764785281225,799907
116-411527-182041988-202602271700,2026-02-27T17:00:00,East,0.6473377230171429,0.08252106116342385,750342
116-411527-182041988-202602271700,2026-02-27T17:00:00,West,0.7261837507253074,0.03130708915058554,516053
116-400062-181995590-202602271807,2026-02-27T18:07:00,Up,0.7176409524170252,0.12232041359372421,2029203
116-400062-181995590-202602271807,2026-02-27T18:07:00,North,0.8338897470788202,0.10586529968342422,2051359
116-400062-181995590-202602271807,2026-02-27T18:07:00,South,0.5540408033972891,0.02295299324496849,10640
116-400062-181995590-202602271807,2026-02-27T18:07:00,East,0.6824553161249142,0.17234310703122965,1855566
116-400062-181995590-202602271807,2026-02-27T18:07:00,West,0.736529511244831,0.06853312479553919,1992945
116-411527-182041988-202602271551,2026-02-27T15:51:00,Up,0.626030710690276,0.060013948609076335,845385
116-411527-182041988-202602271551,2026-02-27T15:51:00,North,0.6201078472139059,0.03828634035226841,551491
116-411527-182041988-202602271551,2026-02-27T15:51:00,South,0.5573012690785133,0.0352045040539153,750964
116-411527-182041988-202602271551,2026-02-27T15:51:00,East,0.5619348756320558,0.03726570763830791,706408
116-411527-182041988-202602271551,2026-02-27T15:51:00,West,223156.71422611238,13985751.563716639,19269
116-411643-182119315-202602272014,2026-02-27T20:14:00,Up,0.5453877638756448,0.02503918855340642,2023641
116-411643-182119315-202602272014,2026-02-27T20:14:00,North,0.5576690436061701,0.06015880717686223,2054714
116-411643-182119315-202602272014,2026-02-27T20:14:00,South,0.5898842034506667,0.036665110918440026,1275223
116-411643-182119315-202602272014,2026-02-27T20:14:00,East,0.6473389587527236,0.10135988833904523,1682383
116-411643-182119315-202602272014,2026-02-27T20:14:00,West,0.5079579722541087,0.012005652525025114,14674
116-400062-182047116-202602271803,2026-02-27T18:03:00,Up,0.5148519119296492,0.023434039867502476,1681092
116-400062-182047116-202602271803,2026-02-27T18:03:00,North,0.6279662803121154,0.04074573858856267,4163552
116-400062-182047116-202602271803,2026-02-27T18:03:00,South,0.5401604798721448,0.02033223123451299,3012828
116-400062-182047116-202602271803,2026-02-27T18:03:00,East,0.6339399253101248,0.11053399310289025,3429390
116-400062-182047116-202602271803,2026-02-27T18:03:00,West,0.5453474833915739,0.030257017935292816,4379868
116-400061-181995590-202602272312,2026-02-27T23:12:00,Up,0.6985956142062375,0.020038754595962095,2049974
116-400061-181995590-202602272312,2026-02-27T23:12:00,North,0.6314020358874156,0.02324871350377837,25919
116-400061-181995590-202602272312,2026-02-27T23:12:00,South,0.6339505694526655,0.021148948023120673,1282810
116-400061-181995590-202602272312,2026-02-27T23:12:00,East,0.6615282940022612,0.028074660399856524,1502686
116-400061-181995590-202602272312,2026-02-27T23:12:00,West,0.7195904613375835,0.08344586453418776,1953057
116-129002-182041988-202602262239,2026-02-26T22:39:00,Up,0.6595328739472016,0.04687561732097337,866021
116-129002-182041988-202602262239,2026-02-26T22:39:00,North,0.5973372030214193,0.07922568812642894,492100
116-129002-182041988-202602262239,2026-02-26T22:39:00,South,0.5919641409124551,0.039977596276646335,574379
116-129002-182041988-202602262239,2026-02-26T22:39:00,East,0.677432267237466,0.09611016497592664,630158
116-129002-182041988-202602262239,2026-02-26T22:39:00,West,0.60709329986687,0.0499875480223575,640089
116-411527-182041988-202602261432,2026-02-26T14:32:00,Up,0.7045757549646728,0.22272961350856302,863674
116-411527-182041988-202602261432,2026-02-26T14:32:00,North,0.6682438393400422,0.07256338886725353,577957
116-411527-182041988-202602261432,2026-02-26T14:32:00,South,0.617135117366507,0.10544542512630321,689977
116-411527-182041988-202602261432,2026-02-26T14:32:00,East,0.5751408348851861,0.05313981253470358,712947
116-411527-182041988-202602261432,2026-02-26T14:32:00,West,0.7721360011914344,0.07871840756851092,460530
116-400102-182041988-202602262051,2026-02-26T20:51:00,Up,0.6274561488330396,0.16853089146339786,865758
116-400102-182041988-202602262051,2026-02-26T20:51:00,North,0.602401475588905,0.09966587936196747,432803
116-400102-182041988-202602262051,2026-02-26T20:51:00,South,0.5822692621816219,0.029511270416290328,649205
116-400102-182041988-202602262051,2026-02-26T20:51:00,East,0.7560877185357804,0.10565400635406293,643171
116-400102-182041988-202602262051,2026-02-26T20:51:00,West,0.5266542524297064,0.02089790664006829,610761
116-400102-181995590-202602262240,2026-02-26T22:40:00,Up,0.5330768328305654,0.007400395711568935,2049923
116-400102-181995590-202602262240,2026-02-26T22:40:00,North,0.5399865947649691,0.024668576901999903,1437640
116-400102-181995590-202602262240,2026-02-26T22:40:00,South,0.5209264435552152,0.005674076582843513,2119
116-400102-181995590-202602262240,2026-02-26T22:40:00,East,0.5833059352458341,0.039342519686525246,195
116-400102-181995590-202602262240,2026-02-26T22:40:00,West,0.5107462384045761,0.0018001462250232239,6096
116-399974-182115366-202602262231,2026-02-26T22:31:00,Up,0.5308420050657656,0.022130389142704234,2051645
116-399974-182115366-202602262231,2026-02-26T22:31:00,North,0.5815537403416132,0.07505067923259834,5630607
116-399974-182115366-202602262231,2026-02-26T22:31:00,South,0.48921115758096323,0.0013828064781103034,59813
116-399974-182115366-202602262231,2026-02-26T22:31:00,East,0.5332972433197872,0.0017236639133458955,36011
116-399974-182115366-202602262231,2026-02-26T22:31:00,West,298.4499524181218,896803.3121785565,9064275
